region_code,country_code
299.0,87.0
181.0,87.0
123.0,87.0
502.0,87.0
126.0,87.0
226.0,87.0
420.0,87.0
204.0,87.0
325.0,87.0
251.0,87.0
472.0,87.0
315.0,87.0
485.0,87.0
330.0,87.0
220.0,87.0
191.0,87.0
494.0,87.0
512.0,87.0
158.0,87.0
264.0,87.0
203.0,87.0
498.0,87.0
433.0,87.0
110.0,87.0
448.0,87.0
194.0,87.0
143.0,87.0
184.0,87.0
272.0,87.0
343.0,87.0
225.0,87.0
444.0,87.0
476.0,87.0
327.0,87.0
441.0,87.0
428.0,87.0
177.0,87.0
310.0,87.0
337.0,87.0
387.0,87.0
170.0,87.0
436.0,87.0
384.0,87.0
205.0,87.0
122.0,87.0
231.0,87.0
269.0,87.0
469.0,87.0
324.0,87.0
295.0,87.0
308.0,87.0
253.0,87.0
492.0,87.0
224.0,87.0
418.0,87.0
157.0,87.0
536.0,96.0
296.0,65.0
491.0,87.0
161.0,60.0
347.0,98.0
154.0,32.0
511.0,60.0
508.0,60.0
496.0,60.0
142.0,87.0
465.0,60.0
106.0,87.0
152.0,16.0
500.0,16.0
274.0,87.0
130.0,60.0
331.0,31.0
486.0,60.0
242.0,60.0
221.0,65.0
216.0,60.0
431.0,60.0
531.0,102.0
304.0,60.0
399.0,60.0
164.0,15.0
375.0,60.0
483.0,60.0
456.0,31.0
218.0,32.0
403.0,19.0
409.0,87.0
477.0,19.0
499.0,87.0
100.0,31.0
258.0,60.0
148.0,60.0
371.0,26.0
332.0,60.0
520.0,60.0
167.0,60.0
261.0,16.0
404.0,87.0
391.0,60.0
505.0,16.0
432.0,96.0
504.0,16.0
346.0,60.0
359.0,60.0
171.0,96.0
425.0,16.0
374.0,60.0
365.0,60.0
141.0,88.0
132.0,65.0
352.0,59.0
183.0,26.0
128.0,87.0
523.0,60.0
411.0,60.0
454.0,69.0
129.0,32.0
521.0,96.0
239.0,60.0
478.0,87.0
210.0,60.0
305.0,60.0
335.0,43.0
452.0,60.0
198.0,87.0
366.0,60.0
333.0,16.0
193.0,87.0
443.0,60.0
393.0,60.0
427.0,60.0
540.0,60.0
127.0,87.0
278.0,87.0
102.0,96.0
506.0,66.0
468.0,59.0
185.0,59.0
459.0,87.0
213.0,60.0
190.0,26.0
501.0,60.0
211.0,24.0
145.0,32.0
119.0,32.0
529.0,60.0
254.0,87.0
270.0,59.0
328.0,87.0
356.0,96.0
451.0,13.0
312.0,13.0
313.0,87.0
283.0,24.0
139.0,65.0
146.0,60.0
430.0,13.0
233.0,101.0
530.0,60.0
241.0,96.0
453.0,60.0
339.0,60.0
535.0,87.0
386.0,72.0
395.0,32.0
162.0,71.0
408.0,96.0
131.0,101.0
372.0,72.0
464.0,16.0
482.0,16.0
306.0,31.0
470.0,78.0
406.0,60.0
326.0,59.0
503.0,87.0
488.0,26.0
514.0,87.0
298.0,60.0
172.0,31.0
402.0,66.0
290.0,60.0
244.0,59.0
111.0,22.0
144.0,87.0
338.0,60.0
385.0,96.0
401.0,60.0
234.0,87.0
133.0,87.0
467.0,65.0
112.0,29.0
260.0,87.0
314.0,96.0
426.0,96.0
527.0,71.0
493.0,32.0
248.0,31.0
199.0,87.0
252.0,60.0
178.0,87.0
249.0,60.0
348.0,96.0
153.0,96.0
189.0,65.0
382.0,31.0
345.0,26.0
235.0,31.0
462.0,59.0
300.0,87.0
200.0,26.0
516.0,19.0
445.0,87.0
168.0,87.0
137.0,71.0
101.0,14.0
513.0,26.0
351.0,96.0
117.0,101.0
214.0,26.0
323.0,102.0
159.0,87.0
360.0,21.0
163.0,31.0
217.0,32.0
466.0,60.0
329.0,87.0
257.0,60.0
400.0,87.0
518.0,72.0
434.0,25.0
243.0,60.0
410.0,87.0
379.0,87.0
180.0,87.0
187.0,88.0
297.0,87.0
519.0,87.0
302.0,60.0
341.0,16.0
201.0,87.0
526.0,65.0
474.0,102.0
307.0,16.0
292.0,30.0
389.0,21.0
349.0,96.0
528.0,88.0
120.0,96.0
262.0,24.0
397.0,87.0
280.0,83.0
439.0,60.0
416.0,16.0
236.0,96.0
219.0,16.0
353.0,87.0
471.0,60.0
450.0,60.0
156.0,87.0
489.0,31.0
134.0,87.0
275.0,87.0
479.0,96.0
515.0,96.0
277.0,87.0
265.0,87.0
294.0,87.0
463.0,87.0
182.0,73.0
522.0,87.0
368.0,87.0
276.0,87.0
301.0,87.0
376.0,87.0
232.0,87.0
435.0,87.0
104.0,87.0
247.0,87.0
202.0,87.0
373.0,87.0
309.0,87.0
381.0,87.0
340.0,87.0
259.0,87.0
369.0,87.0
255.0,87.0
250.0,87.0
105.0,87.0
282.0,87.0
160.0,87.0
208.0,87.0
227.0,87.0
125.0,87.0
390.0,87.0
174.0,87.0
429.0,87.0
509.0,87.0
321.0,87.0
284.0,60.0
322.0,87.0
166.0,87.0
303.0,40.0
215.0,87.0
458.0,87.0
155.0,60.0
316.0,87.0
196.0,87.0
446.0,60.0
279.0,60.0
396.0,87.0
358.0,87.0
195.0,18.0
361.0,87.0
417.0,87.0
223.0,87.0
151.0,27.0
377.0,87.0
124.0,60.0
113.0,87.0
206.0,87.0
238.0,60.0
237.0,87.0
517.0,87.0
481.0,87.0
318.0,87.0
286.0,87.0
507.0,60.0
457.0,19.0
268.0,87.0
245.0,87.0
