card_id,customer_id,card1,card2,card3,network,card5,card_type
C06075-K1,C06075,22563,399.0,150.0,american express,236.0,credit
C07096-K2,C07096,16104,111.0,150.0,mastercard,224.0,debit
C11919-K2,C11919,22374,500.0,185.0,mastercard,219.0,credit
C07867-K2,C07867,22006,225.0,150.0,mastercard,224.0,debit
C06743-K1,C06743,11109,225.0,150.0,mastercard,224.0,debit
C10193-K2,C10193,23517,414.0,143.0,visa,226.0,debit
C11923-K2,C11923,21363,545.0,185.0,visa,138.0,debit
C08925-K1,C08925,19410,314.0,150.0,mastercard,224.0,debit
C09301-K2,C09301,18358,481.0,150.0,mastercard,224.0,debit
C03218-K2,C03218,16435,321.0,150.0,visa,226.0,debit
C08945-K2,C08945,20806,321.0,150.0,visa,226.0,debit
C06598-K1,C06598,14147,545.0,185.0,visa,147.0,credit
C08662-K1,C08662,13199,512.0,150.0,visa,226.0,debit
C11709-K2,C11709,17830,567.0,150.0,mastercard,117.0,debit
C07648-K2,C07648,17784,361.0,150.0,visa,226.0,debit
C03575-K2,C03575,15916,361.0,150.0,visa,226.0,debit
C03847-K1,C03847,14534,390.0,150.0,mastercard,224.0,debit
C10234-K2,C10234,15908,111.0,150.0,visa,195.0,debit
C09711-K1,C09711,12010,383.0,150.0,visa,226.0,debit
C09339-K1,C09339,18454,321.0,150.0,visa,166.0,debit
C03622-K1,C03622,14796,302.0,150.0,visa,195.0,credit
C05704-K2,C05704,13610,170.0,150.0,visa,226.0,credit
C09947-K1,C09947,15469,514.0,150.0,mastercard,224.0,debit
C05283-K1,C05283,10660,276.0,150.0,visa,226.0,debit
C12942-K2,C12942,17736,264.0,150.0,visa,162.0,credit
C01109-K2,C01109,23029,111.0,150.0,visa,226.0,debit
C09363-K2,C09363,18494,111.0,150.0,visa,226.0,debit
C01525-K2,C01525,22351,440.0,185.0,visa,138.0,debit
C01909-K2,C01909,11371,512.0,150.0,visa,226.0,debit
C10906-K1,C10906,22432,553.0,150.0,visa,226.0,debit
C12593-K2,C12593,16493,111.0,150.0,visa,195.0,debit
C12961-K2,C12961,16482,321.0,150.0,visa,226.0,credit
C03363-K2,C03363,15663,455.0,150.0,mastercard,126.0,debit
C02354-K2,C02354,19248,490.0,150.0,visa,226.0,debit
C10745-K1,C10745,11841,298.0,150.0,visa,226.0,debit
C04108-K2,C04108,17011,514.0,150.0,mastercard,219.0,credit
C07870-K2,C07870,14350,572.0,150.0,mastercard,224.0,debit
C10333-K1,C10333,19600,111.0,150.0,mastercard,224.0,debit
C13171-K2,C13171,10114,545.0,185.0,visa,102.0,credit
C02231-K1,C02231,14089,327.0,150.0,discover,223.0,credit
C05362-K1,C05362,22755,111.0,150.0,mastercard,219.0,credit
