device_id,device_info,os,browser,screen,device_type
SM-T810 Build/NRD90M|Android 7.0|chrome 62.0 for android|2048x1536,SM-T810 Build/NRD90M,Android 7.0,chrome 62.0 for android,2048x1536,mobile
||chrome 62.0|,,,chrome 62.0,,desktop
Windows||chrome 62.0|,Windows,,chrome 62.0,,desktop
Windows|Windows 10|chrome 62.0|,Windows,Windows 10,chrome 62.0,,desktop
Moto G (5) Plus Build/NPN25.137-72||android webview 4.0|,Moto G (5) Plus Build/NPN25.137-72,,android webview 4.0,,mobile
iOS Device|iOS 11.1.2|mobile safari 11.0|1334x750,iOS Device,iOS 11.1.2,mobile safari 11.0,1334x750,mobile
SM-G930V Build/NRD90M|Android 7.0|chrome 62.0 for android|1920x1080,SM-G930V Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080,mobile
iOS Device|iOS 11.1.2|mobile safari 11.0|1136x640,iOS Device,iOS 11.1.2,mobile safari 11.0,1136x640,mobile
Moto G (5) Build/NPP25.137-72||chrome generic|,Moto G (5) Build/NPP25.137-72,,chrome generic,,mobile
MacOS|Mac OS X 10_13_1|chrome 61.0|1440x900,MacOS,Mac OS X 10_13_1,chrome 61.0,1440x900,desktop
MacOS|Mac OS X 10_13_1|chrome 62.0|1440x900,MacOS,Mac OS X 10_13_1,chrome 62.0,1440x900,desktop
iOS Device|iOS 11.1.2|mobile safari 11.0|2208x1242,iOS Device,iOS 11.1.2,mobile safari 11.0,2208x1242,mobile
iOS Device|iOS 11.1.2|mobile safari uiwebview|2048x1536,iOS Device,iOS 11.1.2,mobile safari uiwebview,2048x1536,mobile
||chrome 61.0|,,,chrome 61.0,,desktop
||mobile safari generic|,,,mobile safari generic,,mobile
||mobile safari 10.0|,,,mobile safari 10.0,,mobile
||firefox 57.0|,,,firefox 57.0,,desktop
iOS Device|iOS 10.3.2|mobile safari 10.0|2048x1536,iOS Device,iOS 10.3.2,mobile safari 10.0,2048x1536,mobile
||mobile safari 11.0|,,,mobile safari 11.0,,mobile
iOS Device|iOS 10.0.2|mobile safari 10.0|1334x750,iOS Device,iOS 10.0.2,mobile safari 10.0,1334x750,mobile
||chrome 62.0 for ios|,,,chrome 62.0 for ios,,mobile
ALE-L23 Build/HuaweiALE-L23||chrome 46.0 for android|,ALE-L23 Build/HuaweiALE-L23,,chrome 46.0 for android,,mobile
Windows|Windows 10|chrome 62.0|1920x1080,Windows,Windows 10,chrome 62.0,1920x1080,desktop
Trident/7.0|Windows 10|ie 11.0 for desktop|1366x768,Trident/7.0,Windows 10,ie 11.0 for desktop,1366x768,desktop
Windows|Windows 7|chrome 62.0|1366x768,Windows,Windows 7,chrome 62.0,1366x768,desktop
